1;"The Godfather";1972;"The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.";"Francis Ford Coppola"
2;Airplane!;1980;"An airplane crew takes ill. Surely the only person capable of landing the plane is an ex-pilot afraid to fly. But don't call him Shirley.";"Jim Abrahams, David Zucker"
3;"Seven Samurai";1954;"A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.";"Akira Kurosawa"
4;"The Third Man";1949;"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, black-market opportunist Harry Lime.";"Carol Reed"
5;Rashomon;1950;"A heinous crime and its aftermath are recalled from differing points of view.";"Akira Kurosawa"
6;"Spring in a Small Town";1948;"Following WWII and with China brought to it's knees by the actions of the Japanese, prior to the rise of the Communists.";"Mu Fei"
7;"Citizen Kane";1941;"Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.";"Orson Welles"
8;Casablanca;1942;"Set in unoccupied Africa during the early days of World War II: An American expatriate meets a former lover, with unforeseen complications.";"Michael Curtiz"
9;"The Rules of the Game";1939;"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.";"Jean Renoir"
10;"Pather Panchali";1955;"The story of a young boy, Apu, and life in his small Indian village. His parents are quite poor - his father Harihar.";"Satyajit Ray"
11;"Lawrence of Arabia";1962;"A flamboyant and controversial British military figure and his conflicted loyalties during his World War I service in the Middle East.";"David Lean"
12;"Singin' in the Rain";1952;"A silent film production company and cast make a difficult transition to sound.";"Stanley Donen, Gene Kelly"
13;"The Wizard of Oz";1939;"Dorothy Gale is swept away to a magical land in a tornado and embarks on a quest to see the Wizard who can help her return home.";"Victor Fleming"
14;"Bicycle Thieves";1948;"A man and his son search for a stolen bicycle vital for his job.";"Vittorio De Sica"
15;"Battleship Potemkin";1925;"A dramatized account of a great Russian naval mutiny and a resulting street demonstration which brought on a police massacre.";"S. M. Eisenstein"
16;"Good Will Hunting";1997;"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.";"Gus Van Sant"
17;"The Shawshank Redemption";1994;"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.";"Frank Darabont"
18;Rocky;1976;"Rocky Balboa, a small-time boxer gets a supremely rare chance to fight the heavy-weight champion, Apollo Creed, in a bout in which he strives to go the distance for his self-respect.";"John G. Avildsen"
19;Oldboy;2003;"After being kidnapped and imprisoned for 15 years, Oh Dae-Su is released, only to find that he must find his captor in 5 days.";"Chan-wook Park"
20;M;1931;"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.";"Fritz Lang"
